task1,task2,T0,T2,T1,lagT0,lagT1,lagT2,responseT1,responseT2,related,dist,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trials_T0_context.thisRepN,trials_T0_context.thisTrialN,trials_T0_context.thisN,trials_T0_context.thisIndex,trials_T1.thisRepN,trials_T1.thisTrialN,trials_T1.thisN,trials_T1.thisIndex,trials_T2.thisRepN,trials_T2.thisTrialN,trials_T2.thisN,trials_T2.thisIndex,thisRow.t,notes,instructions.started,text_instructions.started,key_resp.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,settings.started,settings.stopped,T0_context.started,context_word.started,blankContext.started,context_word.stopped,blankContext.stopped,T0_context.stopped,distractors_T0_T2.started,text_distractors_2.started,distractors_T0_T2.stopped,T1_number.started,text_T1.started,T1_number.stopped,distractors_T1.started,text_distractors.started,distractors_T1.stopped,T2_probe.started,text_T2.started,T2_probe.stopped,Ask_T1.started,Ask_T1.stopped,key_resp_T1.keys,key_resp_T1.corr,Ask_T2.started,blankT2_1.started,text_T2ask.started,key_resp_T2.started,blankT2_1.stopped,text_T2ask.stopped,blankT2_2.started,key_resp_T2.stopped,blankT2_2.stopped,Ask_T2.stopped,key_resp_T2.keys,key_resp_T2.corr,participant,order [1: single-dual or 2: dual-single],date,expName,psychopyVersion,frameRate,expStart,
single,dual,ANGRY,XXYELLX,1111111.0,7.0,7.0,6.0,j,j,0.0,GQKRPDL,0,0,0,0,0,0,0,0,,,,,,,,,0,4,4,5,70.89415259996895,,,,,,,,,,,,,,,,,70.87783859996125,70.89415259996895,70.96085299993865,,,,,,,,,,,,,,,,,,,,,,,,,,199487,1,2024-10-16_09h55.56.901,AB,2024.1.1,None,2024-10-16 09h56.08.131116 +0200,
single,dual,ANGRY,XXYELLX,1111111.0,7.0,7.0,6.0,j,j,0.0,YGLMSFQ,0,0,0,0,0,0,0,0,,,,,,,,,0,5,5,1,70.97743029997218,,,,,,,,,,,,,,,,,70.96108739997726,70.97743029997218,71.04415749991313,,,,,,,,,,,,,,,,,,,,,,,,,,199487,1,2024-10-16_09h55.56.901,AB,2024.1.1,None,2024-10-16 09h56.08.131116 +0200,
single,dual,ANGRY,XXYELLX,1111111.0,7.0,7.0,6.0,j,j,0.0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.04424589988776,71.04428659996483,None,0,71.04457689996343,71.06115369999316,72.0445228999015,72.0445228999015,72.06103589991108,74.0450899999123,74.0450899999123,74.0450899999123,75.0443378998898,75.02811819990166,None,0,199487,1,2024-10-16_09h55.56.901,AB,2024.1.1,None,2024-10-16 09h56.08.131116 +0200,
single,dual,WEEDS,XXEGGSX,1111111.0,7.0,7.0,6.0,j,j,0.0,ZTFYDXH,0,0,0,0,0,1,1,1,,,,,0,0,0,0,,,,,77.68160299991723,,,,,,,,,,,75.028552499949,75.0443378998898,76.0445616999641,76.0445616999641,77.0809049999807,77.02886619989295,77.46143159992062,77.47782709996682,77.5445096999174,77.54457399994135,77.56114329991397,77.62788980000187,77.67349999991711,77.68160299991723,77.71124659990892,,,,,,,,,,,,,,,,,,,,199487,1,2024-10-16_09h55.56.901,AB,2024.1.1,None,2024-10-16 09h56.08.131116 +0200,
single,dual,WEEDS,XXEGGSX,1111111.0,7.0,7.0,6.0,j,j,0.0,VYKXSPC,0,0,0,0,0,1,1,1,,,,,0,1,1,2,,,,,77.72801139997318,,,,,,,,,,,,,,,,,,,,,,,77.71147389989346,77.72801139997318,77.79473319998942,,,,,,,,,,,,,,,,,,,,199487,1,2024-10-16_09h55.56.901,AB,2024.1.1,None,2024-10-16 09h56.08.131116 +0200,
single,dual,WEEDS,XXEGGSX,1111111.0,7.0,7.0,6.0,j,j,0.0,ZJTSHFP,0,0,0,0,0,1,1,1,,,,,0,2,2,3,,,,,77.81119269994088,,,,,,,,,,,,,,,,,,,,,,,77.79497009993065,77.81119269994088,77.87889339996036,,,,,,,,,,,,,,,,,,,,199487,1,2024-10-16_09h55.56.901,AB,2024.1.1,None,2024-10-16 09h56.08.131116 +0200,
single,dual,WEEDS,XXEGGSX,1111111.0,7.0,7.0,6.0,j,j,0.0,YGLMSFQ,0,0,0,0,0,1,1,1,,,,,0,3,3,1,,,,,77.89495589991566,,,,,,,,,,,,,,,,,,,,,,,77.8791444998933,77.89495589991566,77.96124969993252,,,,,,,,,,,,,,,,,,,,199487,1,2024-10-16_09h55.56.901,AB,2024.1.1,None,2024-10-16 09h56.08.131116 +0200,
single,dual,WEEDS,XXEGGSX,1111111.0,7.0,7.0,6.0,j,j,0.0,HLFPYXK,0,0,0,0,0,1,1,1,,,,,0,4,4,4,,,,,77.97781199996825,,,,,,,,,,,,,,,,,,,,,,,77.96148439997341,77.97781199996825,78.04464109998662,,,,,,,,,,,,,,,,,,,,199487,1,2024-10-16_09h55.56.901,AB,2024.1.1,None,2024-10-16 09h56.08.131116 +0200,
single,dual,WEEDS,XXEGGSX,1111111.0,7.0,7.0,6.0,j,j,0.0,GQKRPDL,0,0,0,0,0,1,1,1,,,,,0,5,5,5,,,,,78.06116369995289,,,,,,,,,,,,,,,,,,,,,,,78.04487029998563,78.06116369995289,78.1280050999485,,,,,,,,,,,,,,,,,,,,199487,1,2024-10-16_09h55.56.901,AB,2024.1.1,None,2024-10-16 09h56.08.131116 +0200,
single,dual,WEEDS,XXEGGSX,1111111.0,7.0,7.0,6.0,j,j,0.0,ZJTSHFP,0,0,0,0,0,1,1,1,,,,,,,,,0,0,0,3,78.26630999997724,,,,,,,,,,,,,,,,,78.25733039993793,78.26630999997724,78.29453869990539,,,,,,,78.1280888998881,78.14452719991095,78.21124259999488,,,,,,,,,,,,,,,,,199487,1,2024-10-16_09h55.56.901,AB,2024.1.1,None,2024-10-16 09h56.08.131116 +0200,
single,dual,WEEDS,XXEGGSX,1111111.0,7.0,7.0,6.0,j,j,0.0,HLFPYXK,0,0,0,0,0,1,1,1,,,,,,,,,0,1,1,4,78.31117959995754,,,,,,,,,,,,,,,,,78.29476459999569,78.31117959995754,78.37796949991025,,,,,,,,,,,,,,,,,,,,,,,,,,199487,1,2024-10-16_09h55.56.901,AB,2024.1.1,None,2024-10-16 09h56.08.131116 +0200,
