task1,task2,T0,T2,T1,lagT0,lagT1,lagT2,responseT1,responseT2,related,dist,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trials_T0_context.thisRepN,trials_T0_context.thisTrialN,trials_T0_context.thisN,trials_T0_context.thisIndex,trials_T1.thisRepN,trials_T1.thisTrialN,trials_T1.thisN,trials_T1.thisIndex,trials_T2.thisRepN,trials_T2.thisTrialN,trials_T2.thisN,trials_T2.thisIndex,thisRow.t,notes,instructions.started,text_instructions.started,key_resp.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,settings.started,settings.stopped,T0_context.started,context_word.started,blankContext.started,context_word.stopped,blankContext.stopped,T0_context.stopped,distractors_T0_T2.started,text_distractors_2.started,distractors_T0_T2.stopped,T1_number.started,text_T1.started,T1_number.stopped,distractors_T1.started,text_distractors.started,distractors_T1.stopped,T2_probe.started,text_T2.started,T2_probe.stopped,Ask_T1.started,Ask_T1.stopped,key_resp_T1.keys,key_resp_T1.corr,Ask_T2.started,blankT2_1.started,text_T2ask.started,key_resp_T2.started,blankT2_1.stopped,text_T2ask.stopped,blankT2_2.started,key_resp_T2.stopped,blankT2_2.stopped,Ask_T2.stopped,key_resp_T2.keys,key_resp_T2.corr,participant,order [1: single-dual or 2: dual-single],date,expName,psychopyVersion,frameRate,expStart,
single,dual,SQUARE,XCIRCLE,7777777.0,10.0,7.0,3.0,j,f,1.0,ZTFYDXH,0,0,0,0,0,3,3,3,,,,,,,,,0,2,2,0,93.97876289999112,,,,,,,,,,,,,,,,,93.96232569997665,93.97876289999112,94.04548659990542,,,,,,,,,,,,,,,,,,,,,,,,,,199487,1,2024-10-16_09h55.56.901,AB,2024.1.1,None,2024-10-16 09h56.08.131116 +0200,
single,dual,SQUARE,XCIRCLE,7777777.0,10.0,7.0,3.0,j,f,1.0,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.04557759989984,94.04561559995636,None,0,94.04578769998625,94.06233429990243,95.04560869990382,95.04560869990382,95.06213559990283,97.04636049992405,97.04636049992405,97.04636049992405,98.04564539995044,98.02939859998878,None,0,199487,1,2024-10-16_09h55.56.901,AB,2024.1.1,None,2024-10-16 09h56.08.131116 +0200,
single,dual,CARPET,XXRUGXX,5555555.0,7.0,3.0,10.0,j,f,1.0,ZTFYDXH,0,0,0,0,0,4,4,4,,,,,0,0,0,0,,,,,100.68283279996831,,,,,,,,,,,98.0297252999153,98.04564539995044,99.0459657999454,99.0459657999454,100.08353769988753,100.02956389996689,100.46269869990647,100.47909579996485,100.54580949991941,100.54586119996384,100.56244439992588,100.62935599999037,100.67458439990878,100.68283279996831,100.7125270999968,,,,,,,,,,,,,,,,,,,,199487,1,2024-10-16_09h55.56.901,AB,2024.1.1,None,2024-10-16 09h56.08.131116 +0200,
single,dual,CARPET,XXRUGXX,5555555.0,7.0,3.0,10.0,j,f,1.0,YGLMSFQ,0,0,0,0,0,4,4,4,,,,,0,1,1,1,,,,,100.72909139993135,,,,,,,,,,,,,,,,,,,,,,,100.71275649999734,100.72909139993135,100.79603939992376,,,,,,,,,,,,,,,,,,,,199487,1,2024-10-16_09h55.56.901,AB,2024.1.1,None,2024-10-16 09h56.08.131116 +0200,
single,dual,CARPET,XXRUGXX,5555555.0,7.0,3.0,10.0,j,f,1.0,VFDMHQS,0,0,0,0,0,4,4,4,,,,,,,,,0,0,0,8,100.93408059992362,,,,,,,,,,,,,,,,,100.92517019994557,100.93408059992362,100.96255149994977,,,,,,,100.79612269997597,100.81244999996852,100.87979489995632,,,,,,,,,,,,,,,,,199487,1,2024-10-16_09h55.56.901,AB,2024.1.1,None,2024-10-16 09h56.08.131116 +0200,
single,dual,CARPET,XXRUGXX,5555555.0,7.0,3.0,10.0,j,f,1.0,WMYFTGJ,0,0,0,0,0,4,4,4,,,,,,,,,0,1,1,6,100.97919469990302,,,,,,,,,,,,,,,,,100.9627803999465,100.97919469990302,101.04590019991156,,,,,,,,,,,,,,,,,,,,,,,,,,199487,1,2024-10-16_09h55.56.901,AB,2024.1.1,None,2024-10-16 09h56.08.131116 +0200,
single,dual,CARPET,XXRUGXX,5555555.0,7.0,3.0,10.0,j,f,1.0,GQKRPDL,0,0,0,0,0,4,4,4,,,,,,,,,0,2,2,5,101.06248049996793,,,,,,,,,,,,,,,,,101.04612989991438,101.06248049996793,101.12919539993163,,,,,,,,,,,,,,,,,,,,,,,,,,199487,1,2024-10-16_09h55.56.901,AB,2024.1.1,None,2024-10-16 09h56.08.131116 +0200,
single,dual,CARPET,XXRUGXX,5555555.0,7.0,3.0,10.0,j,f,1.0,YNPLRQW,0,0,0,0,0,4,4,4,,,,,,,,,0,3,3,7,101.14581679995172,,,,,,,,,,,,,,,,,101.1294338000007,101.14581679995172,101.21253489993978,,,,,,,,,,,,,,,,,,,,,,,,,,199487,1,2024-10-16_09h55.56.901,AB,2024.1.1,None,2024-10-16 09h56.08.131116 +0200,
single,dual,CARPET,XXRUGXX,5555555.0,7.0,3.0,10.0,j,f,1.0,ZTFYDXH,0,0,0,0,0,4,4,4,,,,,,,,,0,4,4,0,101.2291398999514,,,,,,,,,,,,,,,,,101.21277069998905,101.2291398999514,101.29631449992303,,,,,,,,,,,,,,,,,,,,,,,,,,199487,1,2024-10-16_09h55.56.901,AB,2024.1.1,None,2024-10-16 09h56.08.131116 +0200,
single,dual,CARPET,XXRUGXX,5555555.0,7.0,3.0,10.0,j,f,1.0,HQTYPJM,0,0,0,0,0,4,4,4,,,,,,,,,0,5,5,9,101.31245169998147,,,,,,,,,,,,,,,,,101.29654569993727,101.31245169998147,101.37919479992706,,,,,,,,,,,,,,,,,,,,,,,,,,199487,1,2024-10-16_09h55.56.901,AB,2024.1.1,None,2024-10-16 09h56.08.131116 +0200,
single,dual,CARPET,XXRUGXX,5555555.0,7.0,3.0,10.0,j,f,1.0,ZJTSHFP,0,0,0,0,0,4,4,4,,,,,,,,,0,6,6,3,101.39583850000054,,,,,,,,,,,,,,,,,101.37946949992329,101.39583850000054,101.46256869996432,,,,,,,,,,,,,,,,,,,,,,,,,,199487,1,2024-10-16_09h55.56.901,AB,2024.1.1,None,2024-10-16 09h56.08.131116 +0200,
single,dual,CARPET,XXRUGXX,5555555.0,7.0,3.0,10.0,j,f,1.0,HLFPYXK,0,0,0,0,0,4,4,4,,,,,,,,,0,7,7,4,101.47920899989549,,,,,,,,,,,,,,,,,101.46279989997856,101.47920899989549,101.54597919993103,,,,,,,,,,,,,,,,,,,,,,,,,,199487,1,2024-10-16_09h55.56.901,AB,2024.1.1,None,2024-10-16 09h56.08.131116 +0200,
single,dual,CARPET,XXRUGXX,5555555.0,7.0,3.0,10.0,j,f,1.0,VYKXSPC,0,0,0,0,0,4,4,4,,,,,,,,,0,8,8,2,101.56245689990465,,,,,,,,,,,,,,,,,101.54621919989586,101.56245689990465,101.62924139993265,,,,,,,,,,,,,,,,,,,,,,,,,,199487,1,2024-10-16_09h55.56.901,AB,2024.1.1,None,2024-10-16 09h56.08.131116 +0200,
single,dual,CARPET,XXRUGXX,5555555.0,7.0,3.0,10.0,j,f,1.0,YGLMSFQ,0,0,0,0,0,4,4,4,,,,,,,,,0,9,9,1,101.64581909996923,,,,,,,,,,,,,,,,,101.62946749990806,101.64581909996923,101.71252919989638,,,,,,,,,,,,,,,,,,,,,,,,,,199487,1,2024-10-16_09h55.56.901,AB,2024.1.1,None,2024-10-16 09h56.08.131116 +0200,
single,dual,CARPET,XXRUGXX,5555555.0,7.0,3.0,10.0,j,f,1.0,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.71260829991661,101.7126504998887,None,0,101.7128142999718,101.7291419999674,102.71257089998107,102.71257089998107,102.72919489990454,104.71282939997036,104.71282939997036,104.71282939997036,105.71270039991941,105.69716849992983,None,0,199487,1,2024-10-16_09h55.56.901,AB,2024.1.1,None,2024-10-16 09h56.08.131116 +0200,
single,dual,STORM,XCLOUDX,7777777.0,10.0,3.0,7.0,j,f,1.0,YGLMSFQ,0,0,0,0,0,5,5,5,,,,,0,0,0,1,,,,,108.59869469993282,,,,,,,,,,,105.697495099972,105.71270039991941,106.71292879991233,106.71292879991233,107.75145509990398,107.69730299990624,108.3798541999422,108.39632409997284,108.4629200999625,108.46296959999017,108.47966249997262,108.54636069992557,108.59197909990326,108.59869469993282,108.6296189998975,,,,,,,,,,,,,,,,,,,,199487,1,2024-10-16_09h55.56.901,AB,2024.1.1,None,2024-10-16 09h56.08.131116 +0200,
single,dual,STORM,XCLOUDX,7777777.0,10.0,3.0,7.0,j,f,1.0,ZTFYDXH,0,0,0,0,0,5,5,5,,,,,0,1,1,0,,,,,108.6463575999951,,,,,,,,,,,,,,,,,,,,,,,108.62985829997342,108.6463575999951,108.71296759997495,,,,,,,,,,,,,,,,,,,,199487,1,2024-10-16_09h55.56.901,AB,2024.1.1,None,2024-10-16 09h56.08.131116 +0200,
single,dual,STORM,XCLOUDX,7777777.0,10.0,3.0,7.0,j,f,1.0,ZTFYDXH,0,0,0,0,0,5,5,5,,,,,,,,,0,0,0,0,108.85043199989013,,,,,,,,,,,,,,,,,108.84216259990353,108.85043199989013,108.87966359988786,,,,,,,108.71305449993815,108.72957169997972,108.79632299998775,,,,,,,,,,,,,,,,,199487,1,2024-10-16_09h55.56.901,AB,2024.1.1,None,2024-10-16 09h56.08.131116 +0200,
single,dual,STORM,XCLOUDX,7777777.0,10.0,3.0,7.0,j,f,1.0,ZJTSHFP,0,0,0,0,0,5,5,5,,,,,,,,,0,1,1,3,108.89625609992072,,,,,,,,,,,,,,,,,108.87990489997901,108.89625609992072,108.96297999995295,,,,,,,,,,,,,,,,,,,,,,,,,,199487,1,2024-10-16_09h55.56.901,AB,2024.1.1,None,2024-10-16 09h56.08.131116 +0200,
single,dual,STORM,XCLOUDX,7777777.0,10.0,3.0,7.0,j,f,1.0,GQKRPDL,0,0,0,0,0,5,5,5,,,,,,,,,0,2,2,5,108.97958999988623,,,,,,,,,,,,,,,,,108.96321739989799,108.97958999988623,109.04636059992481,,,,,,,,,,,,,,,,,,,,,,,,,,199487,1,2024-10-16_09h55.56.901,AB,2024.1.1,None,2024-10-16 09h56.08.131116 +0200,
single,dual,STORM,XCLOUDX,7777777.0,10.0,3.0,7.0,j,f,1.0,HLFPYXK,0,0,0,0,0,5,5,5,,,,,,,,,0,3,3,4,109.06290499994066,,,,,,,,,,,,,,,,,109.04658729990479,109.06290499994066,109.12966529990081,,,,,,,,,,,,,,,,,,,,,,,,,,199487,1,2024-10-16_09h55.56.901,AB,2024.1.1,None,2024-10-16 09h56.08.131116 +0200,
single,dual,STORM,XCLOUDX,7777777.0,10.0,3.0,7.0,j,f,1.0,WMYFTGJ,0,0,0,0,0,5,5,5,,,,,,,,,0,4,4,6,109.14625140000135,,,,,,,,,,,,,,,,,109.12989809992723,109.14625140000135,109.21293909999076,,,,,,,,,,,,,,,,,,,,,,,,,,199487,1,2024-10-16_09h55.56.901,AB,2024.1.1,None,2024-10-16 09h56.08.131116 +0200,
single,dual,STORM,XCLOUDX,7777777.0,10.0,3.0,7.0,j,f,1.0,VYKXSPC,0,0,0,0,0,5,5,5,,,,,,,,,0,5,5,2,109.22958159993868,,,,,,,,,,,,,,,,,109.21316399995703,109.22958159993868,109.29639249993488,,,,,,,,,,,,,,,,,,,,,,,,,,199487,1,2024-10-16_09h55.56.901,AB,2024.1.1,None,2024-10-16 09h56.08.131116 +0200,
single,dual,STORM,XCLOUDX,7777777.0,10.0,3.0,7.0,j,f,1.0,YGLMSFQ,0,0,0,0,0,5,5,5,,,,,,,,,0,6,6,1,109.31298519996926,,,,,,,,,,,,,,,,,109.29662829998415,109.31298519996926,109.37962829996832,,,,,,,,,,,,,,,,,,,,,,,,,,199487,1,2024-10-16_09h55.56.901,AB,2024.1.1,None,2024-10-16 09h56.08.131116 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.37970839999616,109.37974219990429,None,0,109.37991869996767,109.39699189993553,110.37969139998313,110.37969139998313,110.39632489997894,112.3800443999935,112.3800443999935,112.3800443999935,,,,,,,,,,,,
