task1,task2,thisN,thisTrialN,thisRepN,T0,T2,T1,lagT0,lagT1,lagT2,responseT1,responseT2,related,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_T1.keys,key_resp_T1.corr,key_resp_T2.keys,key_resp_T2.corr,key_resp_T2.rt,key_resp_T2.duration,press_to_continue.keys,key_resp_T1.rt,key_resp_T1.duration,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trials_T0_context.thisRepN,trials_T0_context.thisTrialN,trials_T0_context.thisN,trials_T0_context.thisIndex,trials_T1.thisRepN,trials_T1.thisTrialN,trials_T1.thisN,trials_T1.thisIndex,trials_T2.thisRepN,trials_T2.thisTrialN,trials_T2.thisN,trials_T2.thisIndex,thisRow.t,notes,set_block.started,set_block.stopped,instructions.started,text_instructions.started,key_resp.started,instructions.stopped,block.key_resp.keys,block.key_resp.rt,block.key_resp.duration,set_trial.started,set_trial.stopped,T0_context.started,context_word.started,blankContext.started,context_word.stopped,blankContext.stopped,T0_context.stopped,distractor_T0,distractors_T0.started,text_distr_T0.started,text_distr_T0.stopped,text_blank_distractors_T0.started,text_blank_distractors_T0.stopped,distractors_T0.stopped,T1_number.started,text_T1.started,text_T1.stopped,text_blank_number_T1.started,text_blank_number_T1.stopped,T1_number.stopped,distractor_T1,distractors_T1.started,distractors_T1.stopped,T2_probe.started,text_T2.started,text_T2.stopped,text_blank_T2_probe.started,text_blank_T2_probe.stopped,T2_probe.stopped,distractor_T2,distractors_T2.started,text_distr_T2.started,text_distr_T2.stopped,text_blank_distractors_T2.started,text_blank_distractors_T2.stopped,distractors_T2.stopped,blank_1s.started,text_blank1s.started,text_blank1s.stopped,blank_1s.stopped,Ask_T1.started,Ask_T1.stopped,trial.key_resp_T1.keys,trial.key_resp_T1.corr,blank_T1T2.started,blank_T1T2.stopped,Ask_T2.started,text_T2ask.started,key_resp_T2.started,Ask_T2.stopped,trial.key_resp_T2.keys,trial.key_resp_T2.corr,trial.key_resp_T2.rt,trial.key_resp_T2.duration,blank_2s.started,text_blank2s.started,text_blank2s.stopped,blank_2s.stopped,text_distr_T1.started,text_distr_T1.stopped,text_blank_distractors_T1.started,text_blank_distractors_T1.stopped,rest.started,text_rest.started,press_to_continue.started,rest.stopped,block.press_to_continue.keys,text_T2ask.stopped,key_resp_T2.stopped,text_rest.stopped,press_to_continue.stopped,text_T1ask.started,key_resp_T1.started,text_T1ask.stopped,key_resp_T1.stopped,text_blankT1T2.started,text_blankT1T2.stopped,trial.key_resp_T1.rt,trial.key_resp_T1.duration,end.started,text_thanks.started,end.stopped,participant,order [1: single-dual or 2: dual-single],refresh rate (Hz),port address,language,date,expName,psychopyVersion,frameRate,expStart,
single,dual,3,0,3,NUMBERS,XXBUYXX,2222222.0,7,1,12,j,j,unrelated,space,1.1656102000270039,None,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,3,0,3,0,4.325022999895737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CQBSYLX,4.312690999824554,4.325022999895737,4.358277199789882,4.358277199789882,4.409587599802762,4.394321999978274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,983509,1,60,0xC000,en,2025-03-19_20h53.13.046,AB,2024.2.4,59.87876942651462,2025-03-19 20h53.21.354040 +0500,
single,dual,4,0,4,NUMBERS,XXBUYXX,2222222.0,7,1,12,j,j,unrelated,space,1.1656102000270039,None,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,4,0,4,0,4.409587599802762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YMQPFTK,4.396166799822822,4.409587599802762,4.4415662998799235,4.4415662998799235,4.4918814999982715,4.477409099927172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,983509,1,60,0xC000,en,2025-03-19_20h53.13.046,AB,2024.2.4,59.87876942651462,2025-03-19 20h53.21.354040 +0500,
single,dual,5,0,5,NUMBERS,XXBUYXX,2222222.0,7,1,12,j,j,unrelated,space,1.1656102000270039,None,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,5,0,5,0,4.4918814999982715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JFKWLNQ,4.478927099844441,4.4918814999982715,4.525101599982008,4.525101599982008,4.575445899972692,4.56140449992381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,983509,1,60,0xC000,en,2025-03-19_20h53.13.046,AB,2024.2.4,59.87876942651462,2025-03-19 20h53.21.354040 +0500,
single,dual,6,0,6,NUMBERS,XXBUYXX,2222222.0,7,1,12,j,j,unrelated,space,1.1656102000270039,None,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,6,0,6,0,4.575445899972692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NTWJPRB,4.562948999926448,4.575445899972692,4.608815199928358,4.608815199928358,4.658767899964005,4.64448649995029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,983509,1,60,0xC000,en,2025-03-19_20h53.13.046,AB,2024.2.4,59.87876942651462,2025-03-19 20h53.21.354040 +0500,
single,dual,7,0,7,NUMBERS,XXBUYXX,2222222.0,7,1,12,j,j,unrelated,space,1.1656102000270039,None,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,7,0,7,0,4.658767899964005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LBCHXPW,4.64601599983871,4.658767899964005,4.692067299969494,4.692067299969494,4.741884500021115,4.728185799904168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,983509,1,60,0xC000,en,2025-03-19_20h53.13.046,AB,2024.2.4,59.87876942651462,2025-03-19 20h53.21.354040 +0500,
single,dual,8,0,8,NUMBERS,XXBUYXX,2222222.0,7,1,12,j,j,unrelated,space,1.1656102000270039,None,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,8,0,8,0,4.741884500021115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TQGDYPN,4.729715999914333,4.741884500021115,4.775463699828833,4.775463699828833,4.825402799993753,4.8114143998827785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,983509,1,60,0xC000,en,2025-03-19_20h53.13.046,AB,2024.2.4,59.87876942651462,2025-03-19 20h53.21.354040 +0500,
single,dual,9,0,9,NUMBERS,XXBUYXX,2222222.0,7,1,12,j,j,unrelated,space,1.1656102000270039,None,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,9,0,9,0,4.825402799993753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SWTBNLP,4.813116099918261,4.825402799993753,4.858748099999502,4.858748099999502,4.908745299791917,4.894854799844325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,983509,1,60,0xC000,en,2025-03-19_20h53.13.046,AB,2024.2.4,59.87876942651462,2025-03-19 20h53.21.354040 +0500,
single,dual,10,0,10,NUMBERS,XXBUYXX,2222222.0,7,1,12,j,j,unrelated,space,1.1656102000270039,None,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,10,0,10,0,4.908745299791917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VBJQSDG,4.896396399941295,4.908745299791917,4.942097099963576,4.942097099963576,4.991950799943879,4.978198099881411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,983509,1,60,0xC000,en,2025-03-19_20h53.13.046,AB,2024.2.4,59.87876942651462,2025-03-19 20h53.21.354040 +0500,
single,dual,11,0,11,NUMBERS,XXBUYXX,2222222.0,7,1,12,j,j,unrelated,space,1.1656102000270039,None,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,11,0,11,0,4.991950799943879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZJPDKCB,4.979722999967635,4.991950799943879,5.025431199930608,5.025431199930608,5.075438699917868,5.061424599960446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,983509,1,60,0xC000,en,2025-03-19_20h53.13.046,AB,2024.2.4,59.87876942651462,2025-03-19 20h53.21.354040 +0500,
single,dual,0,0,0,NUMBERS,XXBUYXX,2222222.0,7,1,12,j,j,unrelated,space,1.1656102000270039,None,None,0,j,1,0.4366464999038726,None,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.063663699897006,5.075438699917868,6.075285299913958,6.061522000003606,6.061549999983981,6.061574999941513,None,0,6.061613299883902,6.061631599906832,6.0616466999053955,6.075285299913958,6.075285299913958,6.545009099878371,j,1,0.4366464999038726,None,6.5450977999717,6.5587902998086065,8.558688499964774,8.544860599795356,,,,,,,,,,,,,,,,,,,,,,,,,983509,1,60,0xC000,en,2025-03-19_20h53.13.046,AB,2024.2.4,59.87876942651462,2025-03-19 20h53.21.354040 +0500,
