5.9552 	WARNING 	User requested fullscreen with size [1920 1080], but screen is actually [3840, 2160]. Using actual size
6.6355 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001C79F8223D0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001C79F822370>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001C79F8221C0>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001C79FB09850>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([3840, 2160]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
6.6356 	EXP 	window1: mouseVisible = True
6.6356 	EXP 	window1: backgroundImage = ''
6.6356 	EXP 	window1: backgroundFit = 'none'
6.6357 	EXP 	window1: mouseVisible = True
6.6359 	EXP 	window1: mouseVisible = True
6.6379 	EXP 	window1: mouseVisible = True
6.6385 	EXP 	window1: mouseVisible = True
6.7698 	EXP 	window1: mouseVisible = True
6.7699 	EXP 	window1: mouseVisible = True
6.7706 	EXP 	window1: mouseVisible = True
6.7712 	EXP 	window1: mouseVisible = True
6.8174 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
6.8174 	EXP 	window1: recordFrameIntervals = False
7.0838 	EXP 	window1: recordFrameIntervals = True
7.4262 	EXP 	Screen (0) actual frame rate measured at 59.88Hz
7.4262 	EXP 	window1: recordFrameIntervals = False
7.4264 	EXP 	window1: mouseVisible = False
9.3633 	EXP 	AB: status = STARTED
9.3638 	EXP 	window1: mouseVisible = True
9.4064 	EXP 	Created text_instructions = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.02, italic=False, languageStyle='LTR', name='text_instructions', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
9.4320 	EXP 	window1: mouseVisible = True
9.4331 	EXP 	Created context_word = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([-1., -1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='context_word', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
9.4332 	EXP 	window1: mouseVisible = True
9.4347 	EXP 	Created blankContext = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='blankContext', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
9.4348 	EXP 	window1: mouseVisible = True
9.4360 	EXP 	Created text_distractors_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([-1., -1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_distractors_2', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
9.4361 	EXP 	window1: mouseVisible = True
9.4372 	EXP 	Created text_T1 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([ 1., -1., -1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_T1', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
9.4372 	EXP 	window1: mouseVisible = True
9.4383 	EXP 	Created text_distractors = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([-1., -1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_distractors', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
9.4384 	EXP 	window1: mouseVisible = True
9.4395 	EXP 	Created text_T2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([ 1., -1., -1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_T2', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
9.4396 	EXP 	window1: mouseVisible = True
9.4406 	EXP 	Created text_distractors_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([-1., -1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_distractors_2', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
9.4407 	EXP 	window1: mouseVisible = True
9.4422 	EXP 	Created blankT1_1 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='blankT1_1', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
9.4423 	EXP 	window1: mouseVisible = True
9.4535 	EXP 	Created text_T1ask = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([-1., -1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_T1ask', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='?\n\nOdd-F    Even-J', units='height', win=Window(...), wrapWidth=1)
9.4537 	EXP 	window1: mouseVisible = True
9.4551 	EXP 	Created blankT1_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='blankT1_2', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
9.4552 	EXP 	window1: mouseVisible = True
9.4567 	EXP 	Created blankT2_1 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='blankT2_1', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
9.4567 	EXP 	window1: mouseVisible = True
9.4643 	EXP 	Created text_T2ask = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([-1., -1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_T2ask', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='?\n\nRelated-F    Unrelated-J', units='height', win=Window(...), wrapWidth=1)
9.4644 	EXP 	window1: mouseVisible = True
9.4659 	EXP 	Created blankT2_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='blankT2_2', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
9.4659 	EXP 	window1: mouseVisible = True
9.4692 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='rest', units='height', win=Window(...), wrapWidth=1)
0.0060 	EXP 	text_instructions: height = 0.02
0.0060 	EXP 	text_instructions: height = 0.02
0.0060 	EXP 	text_instructions: height = 0.02
0.0060 	EXP 	text_instructions: text = 'Instructions\n\nIf you see an odd number, please press the F key on your keyboard.\nIf you see an even number, please press the J key on your keyboard.\nPlease focus your attention and try to respond as accurately and swiftly as possible. Once you are ready, we will begin the test.'
0.0201 	EXP 	text_instructions: autoDraw = True
0.9306 	EXP 	Imported task_type.xlsx as conditions, 12 conditions, 2 params
0.9310 	EXP 	Created sequence: sequential, trialTypes=12, nReps=1, seed=None
0.9312 	EXP 	New trial (rep=0, index=0): {'task1': 'single', 'task2': 'dual'}
1.0599 	EXP 	Imported wordPairs.xlsx as conditions, 60 conditions, 9 params
1.0608 	EXP 	Created sequence: sequential, trialTypes=60, nReps=1, seed=None
1.0609 	EXP 	New trial (rep=0, index=0): {'T0': 'HER', 'T2': 'XXHIMXX', 'T1': 3333333, 'lagT0': 7, 'lagT1': 7, 'lagT2': 6, 'responseT1': 'j', 'responseT2': 'f', 'related': 1}
1.0665 	DATA 	Keypress: space
1.0684 	EXP 	text_instructions: autoDraw = False
1.0684 	EXP 	context_word: height = 0.05
1.0684 	EXP 	context_word: height = 0.05
1.0684 	EXP 	context_word: height = 0.05
1.0684 	EXP 	context_word: text = 'HER'
1.0684 	EXP 	context_word: autoDraw = True
1.9401 	EXP 	blankContext: autoDraw = True
2.0735 	EXP 	context_word: autoDraw = False
2.9757 	EXP 	Imported distractors.csv as conditions, 6 conditions, 1 params
2.9760 	EXP 	Created sequence: random, trialTypes=6, nReps=1, seed=None
2.9762 	EXP 	New trial (rep=0, index=0): OrderedDict([('dist', 'ZTFYDXH')])
2.9863 	EXP 	blankContext: autoDraw = False
2.9863 	EXP 	context_word: autoDraw = False
2.9863 	EXP 	blankContext: autoDraw = False
2.9863 	EXP 	text_distractors_2: height = 0.05
2.9863 	EXP 	text_distractors_2: height = 0.05
2.9863 	EXP 	text_distractors_2: height = 0.05
2.9863 	EXP 	text_distractors_2: text = 'ZTFYDXH'
2.9863 	EXP 	text_distractors_2: autoDraw = True
3.0239 	EXP 	New trial (rep=0, index=1): OrderedDict([('dist', 'GQKRPDL')])
3.0403 	EXP 	text_distractors_2: autoDraw = False
3.0403 	EXP 	text_distractors_2: height = 0.05
3.0403 	EXP 	text_distractors_2: height = 0.05
3.0403 	EXP 	text_distractors_2: height = 0.05
3.0403 	EXP 	text_distractors_2: text = 'GQKRPDL'
3.0403 	EXP 	text_distractors_2: autoDraw = True
3.1073 	EXP 	New trial (rep=0, index=2): OrderedDict([('dist', 'YGLMSFQ')])
3.1236 	EXP 	text_distractors_2: autoDraw = False
3.1236 	EXP 	text_distractors_2: height = 0.05
3.1236 	EXP 	text_distractors_2: height = 0.05
3.1236 	EXP 	text_distractors_2: height = 0.05
3.1236 	EXP 	text_distractors_2: text = 'YGLMSFQ'
3.1236 	EXP 	text_distractors_2: autoDraw = True
3.1909 	EXP 	New trial (rep=0, index=3): OrderedDict([('dist', 'HLFPYXK')])
3.2068 	EXP 	text_distractors_2: autoDraw = False
3.2068 	EXP 	text_distractors_2: height = 0.05
3.2068 	EXP 	text_distractors_2: height = 0.05
3.2068 	EXP 	text_distractors_2: height = 0.05
3.2068 	EXP 	text_distractors_2: text = 'HLFPYXK'
3.2068 	EXP 	text_distractors_2: autoDraw = True
3.2740 	EXP 	New trial (rep=0, index=4): OrderedDict([('dist', 'ZJTSHFP')])
3.2903 	EXP 	text_distractors_2: autoDraw = False
3.2903 	EXP 	text_distractors_2: height = 0.05
3.2903 	EXP 	text_distractors_2: height = 0.05
3.2903 	EXP 	text_distractors_2: height = 0.05
