12.0934 	EXP 	Created text_thanks = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_thanks', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
0.0175 	DEBUG 	Read excel file with openpyxl: task_type.xlsx
0.0180 	EXP 	Imported task_type.xlsx as conditions, 12 conditions, 2 params
0.0183 	EXP 	New trial (rep=0, index=0): <Trial 0 (0 in rep 0) data={'task1': 'single', 'task2': 'dual', 'thisN': 0, 'thisTrialN': 0, 'thisRepN': 0}>
0.0749 	INFO 	Keyboard events cleared
0.0746 	EXP 	text_instructions: text = ''
0.0746 	EXP 	text_instructions: height = 0.02
0.0746 	EXP 	text_instructions: height = 0.02
0.0746 	EXP 	text_instructions: height = 0.02
0.0746 	EXP 	text_instructions: text = 'You will see a context word (e.g. CAT). \nThen, you will see a really fast series of letter strings (e.g. FGHBVDT), one after the other.\nOne of them contains a target word (e.g. XXDOGXX) in red. \nDecide whether this target word is related or unrelated to the context word.\n(e.g. CAT- DOG, and BRIGHT-DARK are related pairs, but CAT-SKY are not related)\n\nUnrelated/Related\n- If you see an UNRELATED word, press the F key when you see the "?"\n- If you see a RELATED word, press the J key when you see the "?"\n\nPlease focus your attention and respond as accurately and swiftly as possible. \nPress SPACE to start.'
0.0746 	EXP 	text_instructions: autoDraw = True
1.3124 	DEBUG 	Read excel file with openpyxl: languages/en/wordPairs.xlsx
1.4004 	EXP 	Imported languages/en/wordPairs.xlsx as conditions, 4 conditions, 9 params
1.4008 	EXP 	New trial (rep=0, index=0): <Trial 0 (0 in rep 0) data={'T0': 'NUMBERS', 'T2': 'XXBUYXX', 'T1': 2222222.0, 'lagT0': 7, 'lagT1': 1, 'lagT2': 12, 'responseT1': 'j', 'responseT2': 'j', 'related': 'unrelated', 'thisN': 0, 'thisTrialN': 0, 'thisRepN': 0}>
1.4083 	DATA 	Keypress: space
1.4246 	EXP 	text_instructions: autoDraw = False
1.4246 	EXP 	context_word: height = 0.05
1.4246 	EXP 	context_word: height = 0.05
1.4246 	EXP 	context_word: height = 0.05
1.4246 	EXP 	context_word: text = 'NUMBERS'
1.4246 	EXP 	context_word: autoDraw = True
2.4085 	EXP 	blankContext: autoDraw = True
2.4254 	EXP 	context_word: autoDraw = False
3.3950 	EXP 	New trial (rep=0, index=0): <Trial 0 (0 in rep 0) data={'thisN': 0, 'thisTrialN': 0, 'thisRepN': 0}>
3.4086 	EXP 	blankContext: autoDraw = False
3.4086 	EXP 	context_word: autoDraw = False
3.4086 	EXP 	blankContext: autoDraw = False
3.4086 	EXP 	text_distr_T0: height = 0.05
3.4086 	EXP 	text_distr_T0: height = 0.05
3.4086 	EXP 	text_distr_T0: height = 0.05
3.4086 	EXP 	text_distr_T0: text = 'ZMXWNPK'
3.4086 	EXP 	text_distr_T0: autoDraw = True
3.4418 	EXP 	text_distr_T0: autoDraw = False
3.4418 	EXP 	text_blank_distractors_T0: autoDraw = True
3.4782 	EXP 	New trial (rep=1, index=0): <Trial 1 (0 in rep 1) data={'thisN': 1, 'thisTrialN': 0, 'thisRepN': 1}>
3.4919 	EXP 	text_blank_distractors_T0: autoDraw = False
3.4919 	EXP 	text_distr_T0: autoDraw = False
3.4919 	EXP 	text_blank_distractors_T0: autoDraw = False
3.4919 	EXP 	text_distr_T0: height = 0.05
3.4919 	EXP 	text_distr_T0: height = 0.05
3.4919 	EXP 	text_distr_T0: height = 0.05
3.4919 	EXP 	text_distr_T0: text = 'CYTGLKM'
3.4919 	EXP 	text_distr_T0: autoDraw = True
3.5255 	EXP 	text_distr_T0: autoDraw = False
3.5255 	EXP 	text_blank_distractors_T0: autoDraw = True
3.5613 	EXP 	New trial (rep=2, index=0): <Trial 2 (0 in rep 2) data={'thisN': 2, 'thisTrialN': 0, 'thisRepN': 2}>
3.5753 	EXP 	text_blank_distractors_T0: autoDraw = False
3.5753 	EXP 	text_distr_T0: autoDraw = False
3.5753 	EXP 	text_blank_distractors_T0: autoDraw = False
3.5753 	EXP 	text_distr_T0: height = 0.05
3.5753 	EXP 	text_distr_T0: height = 0.05
3.5753 	EXP 	text_distr_T0: height = 0.05
3.5753 	EXP 	text_distr_T0: text = 'HWJRTFS'
3.5753 	EXP 	text_distr_T0: autoDraw = True
3.6087 	EXP 	text_distr_T0: autoDraw = False
3.6087 	EXP 	text_blank_distractors_T0: autoDraw = True
3.6451 	EXP 	New trial (rep=3, index=0): <Trial 3 (0 in rep 3) data={'thisN': 3, 'thisTrialN': 0, 'thisRepN': 3}>
3.6585 	EXP 	text_blank_distractors_T0: autoDraw = False
3.6585 	EXP 	text_distr_T0: autoDraw = False
3.6585 	EXP 	text_blank_distractors_T0: autoDraw = False
3.6585 	EXP 	text_distr_T0: height = 0.05
3.6585 	EXP 	text_distr_T0: height = 0.05
3.6585 	EXP 	text_distr_T0: height = 0.05
3.6585 	EXP 	text_distr_T0: text = 'SDRZTHB'
3.6585 	EXP 	text_distr_T0: autoDraw = True
3.6921 	EXP 	text_distr_T0: autoDraw = False
