task1,task2,T0,T2,T1,lagT0,lagT1,lagT2,responseT1,responseT2,related,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trials_T0_context.thisRepN,trials_T0_context.thisTrialN,trials_T0_context.thisN,trials_T0_context.thisIndex,trials_T1.thisRepN,trials_T1.thisTrialN,trials_T1.thisN,trials_T1.thisIndex,trials_T2.thisRepN,trials_T2.thisTrialN,trials_T2.thisN,trials_T2.thisIndex,text_instructions.started,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,context_word.started,blankContext.started,context_word.stopped,blankContext.stopped,distractor_T0,text_distr_T0.started,text_distr_T0.stopped,text_blank_distractors_T0.started,text_blank_distractors_T0.stopped,text_T1.started,text_T1.stopped,text_blank_number_T1.started,text_blank_number_T1.stopped,distractor_T1,text_distr_T1.started,text_distr_T1.stopped,text_blank_distractors_T1.started,text_blank_distractors_T1.stopped,text_T2.started,text_T2.stopped,text_blank_T2_probe.started,text_blank_T2_probe.stopped,distractor_T2,text_distr_T2.started,text_distr_T2.stopped,text_blank_distractors_T2.started,text_blank_distractors_T2.stopped,key_resp_T1.keys,key_resp_T1.corr,blankT2_1.started,text_T2ask.started,key_resp_T2.started,blankT2_1.stopped,text_T2ask.stopped,blankT2_2.started,key_resp_T2.stopped,blankT2_2.stopped,key_resp_T2.keys,key_resp_T2.corr,participant,order [1: single-dual or 2: dual-single],refresh rate (Hz),language,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.297072700000172,15.297072700000172,space,2.400546700000632,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422927,1,60,en,2024-11-26_16h06.42.315,AB,2023.1.3,59.963757904713,
single,dual,PUNCH,XXHITXX,5555555.0,7,7,6,f,f,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,17.863640399999895,18.859081399999923,18.876104199999645,19.859144099999867,QJHRMSW,19.859144099999867,19.892663399999947,19.892663399999947,19.942550400000073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422927,1,60,en,2024-11-26_16h06.42.315,AB,2023.1.3,59.963757904713,
single,dual,PUNCH,XXHITXX,5555555.0,7,7,6,f,f,1,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,LXPCBYV,19.942550400000073,19.976016399999935,19.976016399999935,20.025840100000096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422927,1,60,en,2024-11-26_16h06.42.315,AB,2023.1.3,59.963757904713,
single,dual,PUNCH,XXHITXX,5555555.0,7,7,6,f,f,1,0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,JYHGLVT,20.025840100000096,20.059360799999922,20.059360799999922,20.109179899999617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422927,1,60,en,2024-11-26_16h06.42.315,AB,2023.1.3,59.963757904713,
single,dual,PUNCH,XXHITXX,5555555.0,7,7,6,f,f,1,0,0,0,0,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,YKBVRXQ,20.109179899999617,20.142643600000156,20.142643600000156,20.19251709999935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422927,1,60,en,2024-11-26_16h06.42.315,AB,2023.1.3,59.963757904713,
single,dual,PUNCH,XXHITXX,5555555.0,7,7,6,f,f,1,0,0,0,0,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,HBYXZPQ,20.19251709999935,20.225948599999356,20.225948599999356,20.275868499999888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422927,1,60,en,2024-11-26_16h06.42.315,AB,2023.1.3,59.963757904713,
single,dual,PUNCH,XXHITXX,5555555.0,7,7,6,f,f,1,0,0,0,0,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,HSRYTDV,20.275868499999888,20.309171299999434,20.309171299999434,20.359223200000088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422927,1,60,en,2024-11-26_16h06.42.315,AB,2023.1.3,59.963757904713,
single,dual,PUNCH,XXHITXX,5555555.0,7,7,6,f,f,1,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,20.359223200000088,20.392530199999783,20.392530199999783,20.442534899999373,GMNQLRX,20.442534899999373,20.47603220000019,20.47603220000019,20.525865300000078,,,,,,,,,,,,,,,,,,,,,,422927,1,60,en,2024-11-26_16h06.42.315,AB,2023.1.3,59.963757904713,
single,dual,PUNCH,XXHITXX,5555555.0,7,7,6,f,f,1,0,0,0,0,0,0,0,0,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,NHJLSMY,20.525865300000078,20.55929719999949,20.55929719999949,20.609176399999342,,,,,,,,,,,,,,,,,,,,,,422927,1,60,en,2024-11-26_16h06.42.315,AB,2023.1.3,59.963757904713,
single,dual,PUNCH,XXHITXX,5555555.0,7,7,6,f,f,1,0,0,0,0,0,0,0,0,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,JSPWLYG,20.609176399999342,20.642753699999957,20.642753699999957,20.692591099999845,,,,,,,,,,,,,,,,,,,,,,422927,1,60,en,2024-11-26_16h06.42.315,AB,2023.1.3,59.963757904713,
