task1,task2,T0,T2,T1,lagT0,lagT1,lagT2,responseT1,responseT2,related,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trials_T0_context.thisRepN,trials_T0_context.thisTrialN,trials_T0_context.thisN,trials_T0_context.thisIndex,trials_T1.thisRepN,trials_T1.thisTrialN,trials_T1.thisN,trials_T1.thisIndex,trials_T2.thisRepN,trials_T2.thisTrialN,trials_T2.thisN,trials_T2.thisIndex,text_instructions.started,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,context_word.started,blankContext.started,context_word.stopped,blankContext.stopped,distractor_T0,text_distr_T0.started,text_distr_T0.stopped,text_blank_distractors_T0.started,text_blank_distractors_T0.stopped,text_T1.started,text_T1.stopped,text_blank_number_T1.started,text_blank_number_T1.stopped,distractor_T1,text_distr_T1.started,text_distr_T1.stopped,text_blank_distractors_T1.started,text_blank_distractors_T1.stopped,text_T2.started,text_T2.stopped,text_blank_T2_probe.started,text_blank_T2_probe.stopped,distractor_T2,text_distr_T2.started,text_distr_T2.stopped,text_blank_distractors_T2.started,text_blank_distractors_T2.stopped,key_resp_T1.keys,key_resp_T1.corr,blankT2_1.started,text_T2ask.started,key_resp_T2.started,blankT2_1.stopped,text_T2ask.stopped,blankT2_2.started,key_resp_T2.stopped,blankT2_2.stopped,key_resp_T2.keys,key_resp_T2.corr,participant,order [1: single-dual or 2: dual-single],refresh rate (Hz),language,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.12320550000004,23.12320550000004,space,1.357837400000335,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011943,1,60,en,2024-11-26_15h39.08.606,AB,2023.1.3,59.92660189808788,
single,dual,COMB,XBRUSHX,4444444.0,10,3,7,j,f,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,24.63561269999991,25.631881499999963,25.64859269999988,26.63198569999986,CLJVTPK,26.63198569999986,26.667555300000004,26.667555300000004,26.715349399999923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011943,1,60,en,2024-11-26_15h39.08.606,AB,2023.1.3,59.92660189808788,
single,dual,COMB,XBRUSHX,4444444.0,10,3,7,j,f,1,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,KLNCWRM,26.715349399999923,26.748695900000257,26.748695900000257,26.798656100000244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011943,1,60,en,2024-11-26_15h39.08.606,AB,2023.1.3,59.92660189808788,
single,dual,COMB,XBRUSHX,4444444.0,10,3,7,j,f,1,0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,QWYPRCL,26.798656100000244,26.832070400000248,26.832070400000248,26.882001400000263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011943,1,60,en,2024-11-26_15h39.08.606,AB,2023.1.3,59.92660189808788,
single,dual,COMB,XBRUSHX,4444444.0,10,3,7,j,f,1,0,0,0,0,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,NLJDHGQ,26.882001400000263,26.91546049999988,26.91546049999988,26.965440200000103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011943,1,60,en,2024-11-26_15h39.08.606,AB,2023.1.3,59.92660189808788,
single,dual,COMB,XBRUSHX,4444444.0,10,3,7,j,f,1,0,0,0,0,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,VSGFLTW,26.965440200000103,26.998684400000002,26.998684400000002,27.04866290000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011943,1,60,en,2024-11-26_15h39.08.606,AB,2023.1.3,59.92660189808788,
single,dual,COMB,XBRUSHX,4444444.0,10,3,7,j,f,1,0,0,0,0,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,DPHCXFS,27.04866290000018,27.082022300000062,27.082022300000062,27.13198999999986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011943,1,60,en,2024-11-26_15h39.08.606,AB,2023.1.3,59.92660189808788,
single,dual,COMB,XBRUSHX,4444444.0,10,3,7,j,f,1,0,0,0,0,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,QSTFPBM,27.13198999999986,27.16537100000005,27.16537100000005,27.215442000000166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011943,1,60,en,2024-11-26_15h39.08.606,AB,2023.1.3,59.92660189808788,
single,dual,COMB,XBRUSHX,4444444.0,10,3,7,j,f,1,0,0,0,0,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,QLWXVCK,27.215442000000166,27.248685800000203,27.248685800000203,27.298703800000112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011943,1,60,en,2024-11-26_15h39.08.606,AB,2023.1.3,59.92660189808788,
single,dual,COMB,XBRUSHX,4444444.0,10,3,7,j,f,1,0,0,0,0,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,CYLPQKJ,27.298703800000112,27.332188700000188,27.332188700000188,27.382028099999843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011943,1,60,en,2024-11-26_15h39.08.606,AB,2023.1.3,59.92660189808788,
single,dual,COMB,XBRUSHX,4444444.0,10,3,7,j,f,1,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,27.382028099999843,27.41540040000018,27.41540040000018,27.465380200000254,QWRDYNX,27.465380200000254,27.498869099999865,27.498869099999865,27.54868889999989,,,,,,,,,,,,,,,,,,,,,,011943,1,60,en,2024-11-26_15h39.08.606,AB,2023.1.3,59.92660189808788,
single,dual,COMB,XBRUSHX,4444444.0,10,3,7,j,f,1,0,0,0,0,0,0,0,0,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,GXZTWPK,27.54868889999989,27.582042,27.582042,27.632042000000183,,,,,,,,,,,,,,,,,,,,,,011943,1,60,en,2024-11-26_15h39.08.606,AB,2023.1.3,59.92660189808788,
single,dual,COMB,XBRUSHX,4444444.0,10,3,7,j,f,1,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,27.632042000000183,27.665340300000025,27.665340300000025,27.715490000000045,GXZTWPK,27.715490000000045,27.748862700000245,27.748862700000245,27.798751100000118,,,,,,,,,,,,,011943,1,60,en,2024-11-26_15h39.08.606,AB,2023.1.3,59.92660189808788,
